,start time,end time,image_index,blur
0,144895,145267,1,1.04046108100877
1,150875,151075,2,7.452016681040741
2,154095,154259,3,19.911527272178624
3,155387,155475,3,19.911527272178624
4,158815,161955,4,7.126942120989268
5,162463,162643,5,10.493160840299078
6,164391,164471,5,10.493160840299078
7,165471,165691,5,10.493160840299078
8,167039,167263,6,8.354943305210954
9,167603,168031,6,8.354943305210954
10,178003,178183,12,0.0
11,180839,180999,13,4.067273220784866
12,183827,184031,14,6.13662093681725
13,187231,187443,15,2.902218381389363
14,188259,188495,15,2.902218381389363
15,188599,188611,15,2.902218381389363
16,189407,189699,15,2.902218381389363
17,191615,191747,16,3.9846491515373206
18,193147,193443,16,3.9846491515373206
19,193551,193579,16,3.9846491515373206
20,195503,195971,17,16.404170276739272
21,196739,197127,17,16.404170276739272
22,197471,197471,17,16.404170276739272
23,198631,198923,17,16.404170276739272
24,199499,200271,18,4.791139328522796
25,201195,201455,18,4.791139328522796
26,201563,201731,18,4.791139328522796
27,202303,202951,18,4.791139328522796
28,205459,205755,19,0.0
29,210555,211183,24,0.0
30,211427,211763,25,18.642374725299216
31,212647,212943,25,18.642374725299216
32,214235,214499,25,18.642374725299216
33,215507,215759,25,18.642374725299216
34,217503,217763,26,6.658490912985506
35,219655,219915,26,6.658490912985506
36,220183,220247,27,17.056834249876243
37,221891,222215,27,17.056834249876243
38,222579,222715,27,17.056834249876243
39,223599,223919,27,17.056834249876243
40,224191,224235,28,17.364769869553022
41,224963,225307,28,17.364769869553022
42,225719,226007,28,17.364769869553022
43,226227,226695,28,17.364769869553022
44,226903,227203,28,17.364769869553022
45,227423,227423,28,17.364769869553022
46,228031,228299,29,19.32166319254624
47,228623,228691,29,19.32166319254624
48,229947,230519,29,19.32166319254624
49,230579,230599,29,19.32166319254624
50,231935,232431,29,19.32166319254624
51,235111,235807,30,4.525336884769063
52,236539,236983,30,4.525336884769063
53,245063,245687,36,0.0
54,246823,247091,37,16.99347816906338
55,249407,249647,37,16.99347816906338
56,251099,251707,38,12.52424290189035
57,251939,252015,38,12.52424290189035
58,253547,253771,38,12.52424290189035
59,255403,255667,39,4.139392566537814
60,255959,255959,39,4.139392566537814
61,256039,256067,39,4.139392566537814
62,256707,256947,39,4.139392566537814
63,260167,260423,40,16.920054435595556
64,260735,260771,40,16.920054435595556
65,262403,262855,40,16.920054435595556
66,263115,263183,41,5.953444410158846
67,264799,265019,41,5.953444410158846
68,269039,270007,42,15.537577293451974
69,270111,270591,42,15.537577293451974
70,270751,271427,42,15.537577293451974
71,277859,278211,48,0.0
72,279279,279975,49,18.569129857659554
73,281915,282167,49,18.569129857659554
74,284719,284927,50,5.3221072307861235
75,286323,286631,50,5.3221072307861235
76,287023,287099,51,11.790427943648407
77,288935,289531,51,11.790427943648407
78,290963,291191,51,11.790427943648407
79,293811,294035,52,5.295375898975827
80,296179,296475,53,14.804152316177676
81,299287,299539,53,14.804152316177676
82,299955,300035,54,11.570672775009886
83,300883,301743,54,11.570672775009886
84,302675,302967,54,11.570672775009886
85,303287,303287,54,11.570672775009886
86,303907,304179,54,11.570672775009886
87,304311,304355,54,11.570672775009886
88,310823,311183,60,0.0
89,311487,311759,60,0.0
90,312835,313103,61,13.204859782864117
91,314383,314603,61,13.204859782864117
92,314795,315743,61,13.204859782864117
93,319399,319667,62,12.458686681295678
94,319951,320287,62,12.458686681295678
95,320567,321067,63,14.433575796641481
96,322499,324459,63,14.433575796641481
97,324559,324815,64,12.860320372353108
98,328415,328599,65,14.744323901618879
99,329335,329663,65,14.744323901618879
100,330603,330603,65,14.744323901618879
101,330783,332555,65,14.744323901618879
102,333771,334195,66,6.089800287858365
103,334399,336599,66,6.089800287858365
104,336647,336739,66,6.089800287858365
105,336839,337587,66,6.089800287858365
106,337743,337955,66,6.089800287858365
107,343371,343471,71,0.0
108,344527,344843,72,0.0
109,345911,346543,73,18.69676291065202
110,350011,350267,74,7.618256171625237
111,352719,353319,74,7.618256171625237
112,354067,355115,75,6.792990246104564
113,355207,357615,75,6.792990246104564
114,357951,358583,76,17.37875606602315
115,359259,361047,76,17.37875606602315
116,362683,363011,77,4.472416714022868
117,363971,364307,77,4.472416714022868
118,364995,365255,77,4.472416714022868
119,366235,366455,78,1.7171230832246742
120,367031,367031,78,1.7171230832246742
121,367715,367967,78,1.7171230832246742
122,368395,368703,78,1.7171230832246742
123,369703,369923,78,1.7171230832246742
124,370707,370963,78,1.7171230832246742
125,378203,378727,84,0.0
126,378995,379243,84,0.0
127,380091,380319,85,9.582736108065635
128,380719,380747,85,9.582736108065635
129,382015,382311,85,9.582736108065635
130,382623,382887,85,9.582736108065635
131,383291,383559,86,9.196718272180078
132,384303,384575,86,9.196718272180078
133,385535,385803,86,9.196718272180078
134,386655,386883,86,9.196718272180078
135,387423,387659,86,9.196718272180078
136,389255,389479,87,14.790246847421368
137,391267,404855,87,14.790246847421368
138,405719,405719,91,0.0
139,405779,405891,91,0.0
140,410943,411331,96,0.0
141,411555,411955,96,0.0
142,413847,414071,97,0.8707744300623976
143,415779,416051,97,0.8707744300623976
144,416171,416871,98,1.861219429897556
145,417363,417639,98,1.861219429897556
146,418107,418371,98,1.861219429897556
147,419507,419731,98,1.861219429897556
148,421379,421655,99,14.59839571259564
149,422711,423003,99,14.59839571259564
150,423215,423667,99,14.59839571259564
151,424307,424403,100,3.9515790741401147
152,424711,424719,100,3.9515790741401147
153,425263,427263,100,3.9515790741401147
154,428815,428979,101,4.436055454994776
155,432535,432679,101,4.436055454994776
156,433187,433603,102,2.4199404711226613
