,x,y,start time,end time,image_index,image_x,image_y,blur
72,1254.7,1102.6,193659,193939,16,366.70000000000005,614.5999999999999,3.9846491515373206
73,1179.8,1066.3,193963,194347,16,291.79999999999995,578.3,3.9846491515373206
74,1297.8,1032.1,194371,194679,16,1297.8,1032.1,3.9846491515373206
75,1126.9,1034.5,194707,194927,17,238.9000000000001,546.5,16.404170276739272
76,1307.6,1036.0,194959,195283,17,419.5999999999999,548.0,16.404170276739272
77,1483.5,1025.2,195315,195451,17,595.5,537.2,16.404170276739272
78,1689.6,755.7,196007,196063,17,801.5999999999999,267.70000000000005,16.404170276739272
79,1790.7,888.7,196135,196223,17,902.7,400.70000000000005,16.404170276739272
80,2068.2,935.1,196263,196331,17,1180.1999999999998,447.1,16.404170276739272
81,1723.5,1348.4,196375,196439,17,835.5,860.4000000000001,16.404170276739272
82,1651.4,1439.6,196467,196679,17,763.4000000000001,951.5999999999999,16.404170276739272
83,1442.3,638.9,197231,197255,17,554.3,150.89999999999998,16.404170276739272
84,1420.5,585.6,197283,197435,17,532.5,97.60000000000002,16.404170276739272
85,1156.5,1074.2,197563,197839,17,268.5,586.2,16.404170276739272
86,1344.1,1056.2,197867,198207,17,456.0999999999999,568.2,16.404170276739272
87,1432.1,1042.7,198235,198535,17,544.0999999999999,554.7,16.404170276739272
88,1594.1,683.2,199099,199135,18,706.0999999999999,195.20000000000005,4.791139328522796
89,1352.7,1109.3,199287,199443,18,464.70000000000005,621.3,4.791139328522796
90,1368.2,1201.3,200315,200507,18,480.20000000000005,713.3,4.791139328522796
91,1329.7,1147.9,200527,201055,18,441.70000000000005,659.9000000000001,4.791139328522796
92,1272.2,1082.0,201075,201159,18,384.20000000000005,594.0,4.791139328522796
93,1549.3,659.5,201511,201551,18,661.3,171.5,4.791139328522796
94,1121.9,1422.1,201783,202019,18,233.9000000000001,934.0999999999999,4.791139328522796
95,1311.6,1337.0,202051,202279,18,423.5999999999999,849.0,4.791139328522796
96,1354.4,1196.9,202991,203463,18,466.4000000000001,708.9000000000001,4.791139328522796
97,1292.4,1073.2,203487,203895,18,404.4000000000001,585.2,4.791139328522796
98,1454.5,1011.8,203923,204591,18,1454.5,1011.8,4.791139328522796
99,1384.1,1022.7,204603,205151,19,496.0999999999999,534.7,0.0
100,1466.0,1027.7,205171,205423,19,578.0,539.7,0.0
101,1528.4,629.4,205799,205823,19,640.4000000000001,141.39999999999998,0.0
102,1613.3,648.9,205851,205943,19,725.3,160.89999999999998,0.0
103,1418.6,1090.3,205995,206623,19,1418.6,1090.3,0.0
104,1343.9,1021.6,206647,207579,20,1343.9,1021.6,0.0
105,1464.9,993.0,207611,208283,21,1464.9,993.0,0.0
106,1362.2,986.1,208307,209175,22,1362.2,986.1,0.0
107,1473.3,985.8,209199,209563,23,1473.3,985.8,0.0
108,1363.4,997.4,209591,210031,24,475.4000000000001,509.4,0.0
109,1490.1,1038.7,210055,210523,24,602.0999999999999,550.7,0.0
110,1324.9,984.0,211215,211391,24,1324.9,984.0,0.0
111,1418.4,1026.8,211863,212215,25,530.4000000000001,538.8,18.642374725299216
112,1344.7,1041.4,212231,212611,25,456.70000000000005,553.4000000000001,18.642374725299216
113,1528.4,547.1,212979,213079,25,640.4000000000001,59.10000000000002,18.642374725299216
114,1526.6,477.5,213127,213175,25,638.5999999999999,-10.5,18.642374725299216
115,1413.0,1071.4,213215,213463,25,525.0,583.4000000000001,18.642374725299216
116,1526.1,1097.6,213491,213687,25,638.0999999999999,609.5999999999999,18.642374725299216
117,1691.2,1262.2,213739,214067,25,803.2,774.2,18.642374725299216
118,1166.7,1349.3,214123,214203,25,278.70000000000005,861.3,18.642374725299216
119,1525.0,545.8,214535,214731,25,637.0,57.799999999999955,18.642374725299216
120,1414.5,1043.4,214819,215023,25,526.5,555.4000000000001,18.642374725299216
121,1414.0,1014.8,215039,215351,25,526.0,526.8,18.642374725299216
122,1477.4,996.3,215375,215463,25,589.4000000000001,508.29999999999995,18.642374725299216
123,1505.1,564.9,215787,216155,26,617.0999999999999,76.89999999999998,6.658490912985506
124,1400.5,1006.7,216203,216375,26,512.5,518.7,6.658490912985506
125,1457.4,994.3,216399,216611,26,569.4000000000001,506.29999999999995,6.658490912985506
126,1512.0,990.4,216631,216911,26,624.0,502.4,6.658490912985506
127,1377.8,963.4,216955,217191,26,489.79999999999995,475.4,6.658490912985506
128,1301.1,953.9,217211,217471,26,413.0999999999999,465.9,6.658490912985506
129,1506.9,632.5,217779,217979,26,618.9000000000001,144.5,6.658490912985506
130,1466.5,476.9,218003,218043,26,578.5,-11.100000000000023,6.658490912985506
131,1371.3,1037.6,218091,218243,26,483.29999999999995,549.5999999999999,6.658490912985506
132,1457.2,1033.0,218263,218807,26,569.2,545.0,6.658490912985506
133,1403.5,1015.5,218823,219439,26,515.5,527.5,6.658490912985506
134,1424.2,1128.3,219467,219615,26,536.2,640.3,6.658490912985506
135,1552.7,558.6,219975,220171,27,664.7,70.60000000000002,17.056834249876243
136,1438.1,1003.5,220311,220363,27,550.0999999999999,515.5,17.056834249876243
137,1545.7,1043.4,220391,220755,27,657.7,555.4000000000001,17.056834249876243
138,1465.5,1039.2,220779,220967,27,577.5,551.2,17.056834249876243
139,1535.5,1078.7,220995,221375,27,647.5,590.7,17.056834249876243
140,1444.8,1045.7,221399,221847,27,556.8,557.7,17.056834249876243
141,1563.2,697.3,222247,222551,27,675.2,209.29999999999995,17.056834249876243
142,1226.2,982.5,222759,222987,27,338.20000000000005,494.5,17.056834249876243
143,1361.9,982.7,223011,223419,27,473.9000000000001,494.70000000000005,17.056834249876243
144,1426.6,982.1,223443,223539,27,538.5999999999999,494.1,17.056834249876243
145,1547.9,887.9,223947,224115,28,659.9000000000001,399.9,17.364769869553022
146,1507.7,527.5,224147,224171,28,619.7,39.5,17.364769869553022
147,1366.8,1044.9,224283,224691,28,478.79999999999995,556.9000000000001,17.364769869553022
148,1274.0,970.3,224715,224919,28,386.0,482.29999999999995,17.364769869553022
149,1466.6,665.4,225379,225619,28,578.5999999999999,177.39999999999998,17.364769869553022
150,1360.5,491.2,225643,225667,28,472.5,3.1999999999999886,17.364769869553022
151,1313.8,960.3,226099,226127,28,425.79999999999995,472.29999999999995,17.364769869553022
152,1515.4,600.7,226711,226887,28,627.4000000000001,112.70000000000005,17.364769869553022
153,1501.9,454.5,227243,227339,28,613.9000000000001,-33.5,17.364769869553022
154,1498.1,456.4,227375,227399,28,610.0999999999999,-31.600000000000023,17.364769869553022
155,1492.7,460.7,227463,227483,28,604.7,-27.30000000000001,17.364769869553022
156,1525.5,445.3,227535,227659,28,637.5,-42.69999999999999,17.364769869553022
157,1516.2,447.3,227683,227771,28,628.2,-40.69999999999999,17.364769869553022
158,1506.0,447.2,227843,227867,28,618.0,-40.80000000000001,17.364769869553022
