,duration,start time,end time,start x,end x,start y,end y,size,distance,speed,image_index,blur
0,500,144807,145307,1385.9,1443.7,1122.9,1015.6,121.87752048675756,121.87752048675756,0.24375504097351514,1,1.04046108100877
1,4,147787,147791,1451.5,1450.1,996.0,982.8,13.27403480483615,13.27403480483615,3.3185087012090375,1,1.04046108100877
2,8,149555,149563,1446.5,1408.7,1003.0,1005.6,37.88931247726721,37.88931247726721,4.736164059658401,2,7.452016681040741
3,24,150051,150075,1390.5,1510.1,980.5,980.9,119.6006688944505,119.6006688944505,4.983361203935437,2,7.452016681040741
4,8,150767,150775,1466.6,1499.2,991.5,986.6,32.966194806195155,32.966194806195155,4.120774350774394,2,7.452016681040741
5,376,150803,151179,1505.8,1408.0,984.1,1035.4,110.43790110283697,110.43790110283697,0.29371782208201325,2,7.452016681040741
6,20,151895,151915,1331.8,1409.3,1096.9,1064.6,83.96153881391176,83.96153881391176,4.198076940695588,2,7.452016681040741
7,8,152607,152615,1410.7,1436.9,1036.8,1024.4,28.98620361482336,28.98620361482336,3.62327545185292,2,7.452016681040741
8,316,154055,154371,1438.5,1455.4,1053.0,976.9,77.95396077172735,77.95396077172735,0.2466897492776182,3,19.911527272178624
9,16,155003,155019,1423.1,1336.5,1051.9,1038.6,87.61535253595679,87.61535253595679,5.475959533497299,3,19.911527272178624
10,260,155331,155591,1299.7,1402.2,1044.8,997.1,113.05547310944301,113.05547310944301,0.434828742728627,3,19.911527272178624
11,16,155851,155867,1414.1,1510.1,997.5,997.5,96.0,96.0,6.0,3,19.911527272178624
12,16,156247,156263,1496.1,1409.5,993.0,990.3,86.64207984576538,86.64207984576538,5.415129990360336,3,19.911527272178624
13,16,156691,156707,1392.9,1466.0,1015.6,1013.4,73.1330978422218,73.1330978422218,4.570818615138863,3,19.911527272178624
14,12,157723,157735,1431.8,1375.5,1018.8,1014.3,56.47955382260022,56.47955382260022,4.706629485216685,4,7.126942120989268
15,20,158395,158415,1332.2,1471.9,1027.6,1031.1,139.7438370734109,139.7438370734109,6.987191853670545,4,7.126942120989268
16,3236,158763,161999,1486.0,1335.4,1047.8,1095.4,157.9434075863883,157.9434075863883,0.04880822236909404,4,7.126942120989268
17,336,162423,162759,1288.6,1360.5,1180.3,1094.1,112.24994432069899,112.24994432069899,0.33407721524017553,5,10.493160840299078
18,12,163579,163591,1405.5,1354.0,1058.9,1039.0,55.21104961871313,55.21104961871313,4.600920801559428,5,10.493160840299078
19,16,163963,163979,1366.5,1489.5,1012.8,1023.9,123.49983805657399,123.49983805657399,7.7187398785358745,5,10.493160840299078
20,248,164347,164595,1474.3,1390.4,1031.7,999.5,89.86684594443037,89.86684594443037,0.36236631429205796,5,10.493160840299078
21,4,164931,164935,1406.9,1425.9,1040.3,1034.2,19.955199823604847,19.955199823604847,4.988799955901212,5,10.493160840299078
22,332,165447,165779,1430.8,1609.0,1059.1,653.2,443.2945409093145,443.2945409093145,1.3352245208111881,5,10.493160840299078
23,12,165843,165855,1578.7,1372.1,676.8,958.2,349.0981523869757,349.0981523869757,29.09151269891464,6,8.354943305210954
24,16,166231,166247,1386.7,1286.2,1039.0,1053.9,101.59852361132027,101.59852361132027,6.349907725707517,6,8.354943305210954
25,428,167003,167431,1264.5,1180.3,1065.1,827.7,251.88965838239557,251.88965838239557,0.5885272392112046,6,8.354943305210954
26,572,167519,168091,1189.8,1578.4,855.5,796.4,393.06840371619813,393.06840371619813,0.6871825239793674,6,8.354943305210954
27,52,168139,168191,1514.0,1695.9,651.2,707.7,190.47272770661954,190.47272770661954,3.662937071281145,6,8.354943305210954
28,24,168223,168247,1683.3,1477.3,721.6,997.9,344.6413933351593,344.6413933351593,14.360058055631638,6,8.354943305210954
29,16,169527,169543,1515.0,1433.7,1051.6,1020.3,87.11704770020613,87.11704770020613,5.444815481262883,6,8.354943305210954
30,16,171727,171743,1431.1,1547.3,1026.3,1020.3,116.35480222148122,116.35480222148122,7.272175138842576,7,0.0
31,20,172235,172255,1526.4,1353.7,1044.2,1018.5,174.6017754777998,174.6017754777998,8.73008877388999,7,0.0
32,20,173035,173055,1294.8,1458.2,1018.8,1022.6,163.44418007381,163.44418007381,8.1722090036905,8,0.0
33,20,173919,173939,1439.6,1317.0,1043.0,1024.0,124.06353211157571,124.06353211157571,6.203176605578785,9,0.0
34,16,174783,174799,1278.5,1379.8,1042.8,1028.0,102.37543650700587,102.37543650700587,6.398464781687867,10,0.0
35,16,175815,175831,1390.7,1274.5,1039.2,1020.0,117.77554924516384,117.77554924516384,7.36097182782274,11,0.0
36,20,176243,176263,1253.3,1394.8,1029.0,1019.0,141.85291678354733,141.85291678354733,7.092645839177367,12,0.0
37,176,177287,177463,1367.4,1397.3,1069.7,986.0,88.88025652528238,88.88025652528238,0.5050014575300135,12,0.0
38,20,177591,177611,1395.1,1284.9,994.2,993.7,110.20113429543254,110.20113429543254,5.510056714771627,12,0.0
39,316,177971,178287,1263.4,1221.8,1009.4,888.2,128.14054783713075,128.14054783713075,0.40550806277573026,12,0.0
40,20,178431,178451,1226.7,1365.8,919.4,1002.8,162.18622012982476,162.18622012982476,8.109311006491238,13,4.067273220784866
41,20,178711,178731,1357.2,1504.9,1035.5,1060.8,149.85119285477847,149.85119285477847,7.492559642738923,13,4.067273220784866
42,4,179707,179711,1452.1,1434.8,1021.2,1010.4,20.394361965994424,20.394361965994424,5.098590491498606,13,4.067273220784866
43,12,180719,180731,1397.2,1454.0,1007.1,1006.4,56.80431321651548,56.80431321651548,4.733692768042957,13,4.067273220784866
